III	0	6	1	1
1888	0	6	1	1
Wilhelm	0	6	1	1
II	0	6	1	1
1888–1918	0	6	1	1
Chancellor	0	6	1	1
Otto	0	6	1	1
von	0	6	1	1
Bismarck	0	6	1	1
first	0	6	1	1
1871–1890	0	6	1	1
Max	0	6	1	1
von	0	6	1	1
Baden	0	6	1	1
last	0	6	1	1
1918	0	6	1	1
Upper	0	6	1	1
House	0	6	1	1
1871	0	6	1	1
40,050,792	0	6	1	1
1900	0	6	1	1
52,279,915	0	6	1	1
1910	0	6	1	1
64,925,993	0	6	1	1
540857.54	0	6	1	1
1913–1918	0	6	1	1
2,658,161	0	6	1	1
Vereinsthaler	0	6	1	1
South	0	6	1	1
German	0	6	1	1
gulden	0	6	1	1
Bremen	0	6	1	1
thaler	0	6	1	1
Hamburg	0	6	1	1
mark	0	6	1	1
French	0	6	1	1
franc	0	6	1	1
until	0	6	1	1
1873	0	6	1	1
together	0	6	1	1
German	0	7	1	1
gold	0	7	1	1
mark	0	7	1	1
1873–1914	0	7	1	1
German	0	7	1	1
Papiermark	0	7	1	1
1914–1918	0	7	1	1
Area	0	7	1	1
and	0	7	1	1
population	0	7	1	1
not	0	7	1	1
including	0	7	1	1
colonial	0	7	1	1
possessions	0	7	1	1
Area	0	7	1	1
source	0	7	1	1
Population	0	7	1	1
source	0	7	1	1
The	0	7	1	1
German	0	7	1	1
Empire	0	7	1	1
Deutsches	0	7	1	1
Kaiserreich	0	7	1	1
officially	0	7	1	1
Deutsches	0	7	1	1
Reich	0	7	1	1
also	0	7	1	1
known	0	7	1	1
as	0	7	1	1
Imperial	0	7	1	1
Germany	0	7	1	1
<Germany>	1	7	1.0	1.546875
was	0	7	1	1
the	0	7	1	1
German	0	7	1	1
nation	0	7	1	1
state	0	7	1	1
that	0	7	1	1
existed	0	7	1	1
from	0	7	1	1
the	0	7	1	1
unification	0	7	1	1
of	0	7	1	1
Germany	0	7	1	1
<Germany>	1	7	1.0	1.546875
in	0	7	1	1
1871	0	7	1	1
until	0	7	1	1
the	0	7	1	1
abdication	0	7	1	1
of	0	7	1	1
Kaiser	0	7	1	1
Wilhelm	0	7	1	1
II	0	7	1	1
in	0	7	1	1
1918	0	7	1	1
It	0	8	1	1
<Germany>	1	8	1.0	1.546875
was	0	8	1	1
founded	0	8	1	1
in	0	8	1	1
1871	0	8	1	1
when	0	8	1	1
the	0	8	1	1
south	0	8	1	1
German	0	8	1	1
states	0	8	1	1
except	0	8	1	1
for	0	8	1	1
Austria	0	8	1	1
joined	0	8	1	1
the	0	8	1	1
North	0	8	1	1
German	0	8	1	1
Confederation	0	8	1	1
On	0	9	1	1
1	0	9	1	1
January	0	9	1	1
1871	0	9	1	1
the	0	9	1	1
new	0	9	1	1
constitution	0	9	1	1
came	0	9	1	1
into	0	9	1	1
force	0	9	1	1
that	0	9	1	1
changed	0	9	1	1
the	0	9	1	1
name	0	9	1	1
of	0	9	1	1
the	0	9	1	1
federal	0	9	1	1
state	0	9	1	1
and	0	9	1	1
introduced	0	9	1	1
the	0	9	1	1
title	0	9	1	1
of	0	9	1	1
emperor	0	9	1	1
for	0	9	1	1
Wilhelm	0	9	1	1
I	0	9	1	1
King	0	9	1	1
of	0	9	1	1
Prussia	0	9	1	1
from	0	9	1	1
the	0	9	1	1
House	0	9	1	1
of	0	9	1	1
Hohenzollern	0	9	1	1
Berlin	0	10	1	1
remained	0	10	1	1
its	0	10	1	1
capital	0	10	1	1
and	0	10	1	1
Otto	0	10	1	1
von	0	10	1	1
Bismarck	0	10	1	1
remained	0	10	1	1
Chancellor	0	10	1	1
the	0	10	1	1
head	0	10	1	1
of	0	10	1	1
government	0	10	1	1
As	0	11	1	1
these	0	11	1	1
events	0	11	1	1
occurred	0	11	1	1
the	0	11	1	1
Prussian	0	11	1	1
led	0	11	1	1
North	0	11	1	1
German	0	11	1	1
Confederation	0	11	1	1
and	0	11	1	1
its	0	11	1	1
southern	0	11	1	1
German	0	11	1	1
allies	0	11	1	1
were	0	11	1	1
still	0	11	1	1
engaged	0	11	1	1
in	0	11	1	1
the	0	11	1	1
Franco	0	11	1	1
Prussian	0	11	1	1
War	0	11	1	1
The	0	12	1	1
German	0	12	1	1
Empire	0	12	1	1
consisted	0	12	1	1
of	0	12	1	1
26	0	12	1	1
states	0	12	1	1
most	0	12	1	1
of	0	12	1	1
them	0	12	1	1
ruled	0	12	1	1
by	0	12	1	1
royal	0	12	1	1
families	0	12	1	1
They	0	13	1	1
included	0	13	1	1
four	0	13	1	1
kingdoms	0	13	1	1
six	0	13	1	1
grand	0	13	1	1
duchies	0	13	1	1
five	0	13	1	1
duchies	0	13	1	1
six	0	13	1	1
before	0	13	1	1
1876	0	13	1	1
seven	0	13	1	1
principalities	0	13	1	1
three	0	13	1	1
free	0	13	1	1
Hanseatic	0	13	1	1
cities	0	13	1	1
and	0	13	1	1
one	0	13	1	1
imperial	0	13	1	1
territory	0	13	1	1
Although	0	14	1	1
Prussia	0	14	1	1
was	0	14	1	1
one	0	14	1	1
of	0	14	1	1
several	0	14	1	1
kingdoms	0	14	1	1
in	0	14	1	1
the	0	14	1	1
realm	0	14	1	1
it	0	14	1	1
<Germany>	1	14	1.0	1.546875
contained	0	14	1	1
about	0	14	1	1
two	0	14	1	1
thirds	0	14	1	1
of	0	14	1	1
Germany	0	14	1	1
<Germany>	1	14	1.0	1.546875
's	0	14	1	1
population	0	14	1	1
and	0	14	1	1
territory	0	14	1	1
Prussian	0	15	1	1
dominance	0	15	1	1
was	0	15	1	1
also	0	15	1	1
established	0	15	1	1
constitutionally	0	15	1	1
After	0	16	1	1
1850	0	16	1	1
the	0	16	1	1
states	0	16	1	1
of	0	16	1	1
Germany	0	16	1	1
<Germany>	1	16	1.0	1.546875
had	0	16	1	1
rapidly	0	16	1	1
become	0	16	1	1
industrialized	0	16	1	1
with	0	16	1	1
particular	0	16	1	1
strengths	0	16	1	1
in	0	16	1	1
coal	0	16	1	1
iron	0	16	1	1
and	0	16	1	1
later	0	16	1	1
steel	0	16	1	1
chemicals	0	16	1	1
and	0	16	1	1
railways	0	16	1	1
In	0	17	1	1
1871	0	17	1	1
Germany	0	17	1	1
<Germany>	1	17	1.0	1.546875
had	0	17	1	1
a	0	17	1	1
population	0	17	1	1
of	0	17	1	1
41	0	17	1	1
million	0	17	1	1
people	0	17	1	1
by	0	17	1	1
1913	0	17	1	1
this	0	17	1	1
had	0	17	1	1
increased	0	17	1	1
to	0	17	1	1
68	0	17	1	1
million	0	17	1	1
A	0	18	1	1
heavily	0	18	1	1
rural	0	18	1	1
collection	0	18	1	1
of	0	18	1	1
states	0	18	1	1
in	0	18	1	1
1815	0	18	1	1
the	0	18	1	1
now	0	18	1	1
united	0	18	1	1
Germany	0	18	1	1
<Germany>	1	18	1.0	1.546875
became	0	18	1	1
predominantly	0	18	1	1
urban	0	18	1	1
During	0	19	1	1
its	0	19	1	1
47	0	19	1	1
years	0	19	1	1
of	0	19	1	1
existence	0	19	1	1
the	0	19	1	1
German	0	19	1	1
Empire	0	19	1	1
was	0	19	1	1
an	0	19	1	1
industrial	0	19	1	1
technological	0	19	1	1
and	0	19	1	1
scientific	0	19	1	1
giant	0	19	1	1
gaining	0	19	1	1
more	0	19	1	1
Nobel	0	19	1	1
Prizes	0	19	1	1
in	0	19	1	1
science	0	19	1	1
than	0	19	1	1
any	0	19	1	1
other	0	19	1	1
country	0	19	1	1
By	0	20	1	1
1900	0	20	1	1
Germany	0	20	1	1
<Germany>	1	20	1.0	1.546875
was	0	20	1	1
the	0	20	1	1
largest	0	20	1	1
economy	0	20	1	1
in	0	20	1	1
Europe	0	20	1	1
surpassing	0	20	1	1
the	0	20	1	1
United	0	20	1	1
Kingdom	0	20	1	1
as	0	20	1	1
well	0	20	1	1
as	0	20	1	1
the	0	20	1	1
second	0	20	1	1
largest	0	20	1	1
in	0	20	1	1
the	0	20	1	1
world	0	20	1	1
behind	0	20	1	1
only	0	20	1	1
the	0	20	1	1
United	0	20	1	1
States	0	20	1	1
From	0	21	1	1
1867	0	21	1	1
to	0	21	1	1
1878/9	0	21	1	1
Otto	0	21	1	1
von	0	21	1	1
Bismarck	0	21	1	1
's	0	21	1	1
tenure	0	21	1	1
as	0	21	1	1
the	0	21	1	1
first	0	21	1	1
and	0	21	1	1
to	0	21	1	1
this	0	21	1	1
day	0	21	1	1
longest	0	21	1	1
reigning	0	21	1	1
Chancellor	0	21	1	1
was	0	21	1	1
